symbol,exchange,instrument_type,sector,sector_group,sector20,notes
PIIND,NSE,Equity,Agrochemicals/CSM,Chemicals,,
PNB,NSE,Equity,PSU Bank,Banking,,
PNBHOUSING,NSE,Equity,Housing Finance,Financial Services,,
POLICYBZR,NSE,Equity,Insurance Distribution,Financial Services,,
POLYCAB,NSE,Equity,Wires & Cables,Consumer Durables,,
POWERGRID,NSE,Equity,Transmission,Power & Utilities,,
POWERINDIA,NSE,Equity,Power Equipment,Capital Goods,,
PREMIERENE,NSE,Equity,Renewables,Power & Utilities,,
PRESTIGE,NSE,Equity,Developer,Realty,,
RADICO,NSE,Equity,Alcoholic Beverages,FMCG,,
RBLBANK,NSE,Equity,Private Bank,Banking,,
RECLTD,NSE,Equity,NBFC — Power Finance,Financial Services,,
RELIANCE,NSE,Equity,Integrated,Oil & Gas,,
RVNL,NSE,Equity,Rail Construction,Infrastructure,,
SAGILITY,NSE,Equity,BPM/ITES,IT Services,,
SAIL,NSE,Equity,Steel,Metals & Mining,,
SBICARD,NSE,Equity,Credit Cards,Financial Services,,
SBILIFE,NSE,Equity,Life Insurance,Insurance,,
SBIN,NSE,Equity,PSU Bank,Banking,,
SHREECEM,NSE,Equity,Large-cap Cement,Cement,,
SHRIRAMFIN,NSE,Equity,NBFC — Vehicle Finance,Financial Services,,
SIEMENS,NSE,Equity,Diversified Engineering,Capital Goods,,
SOLARINDS,NSE,Equity,Industrial Explosives,Chemicals,,
SONACOMS,NSE,Equity,Components,Auto Ancillary,,
SRF,NSE,Equity,Specialty/Fluorochemicals,Chemicals,,
SUNPHARMA,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
SUPREMEIND,NSE,Equity,Pipes,Building Materials,,
SUZLON,NSE,Equity,Wind Equipment,Power & Utilities,,
SWIGGY,NSE,Equity,E-commerce,Consumer Discretionary,,
TATACONSUM,NSE,Equity,Food & Beverage,FMCG,,
TATAELXSI,NSE,Equity,Design/Embedded,IT Services,,
TATAPOWER,NSE,Equity,Integrated,Power & Utilities,,
TATASTEEL,NSE,Equity,Steel,Metals & Mining,,
TCS,NSE,Equity,Large-cap IT,IT Services,,
TECHM,NSE,Equity,Large-cap IT,IT Services,,
TIINDIA,NSE,Equity,Diversified Engineering,Auto Ancillary,,
TITAN,NSE,Equity,Jewellery/Retail,Consumer Discretionary,,
TMPV,NSE,Equity,Passenger Vehicles,Automobiles,,Assumed Tata Motors Passenger Vehicles (post-demerger); not independently confirmed.
TORNTPHARM,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
TRENT,NSE,Equity,Retail,Consumer Discretionary,,
TVSMOTOR,NSE,Equity,Two-Wheeler,Automobiles,,
ULTRACEMCO,NSE,Equity,Large-cap Cement,Cement,,
UNIONBANK,NSE,Equity,PSU Bank,Banking,,
UNITDSPR,NSE,Equity,Alcoholic Beverages,FMCG,,
UNOMINDA,NSE,Equity,Components,Auto Ancillary,,
UPL,NSE,Equity,Agrochemicals,Chemicals,,
VBL,NSE,Equity,Beverages,FMCG,,
VEDL,NSE,Equity,Diversified Mining,Metals & Mining,,
VMM,NSE,Equity,Retail,Consumer Discretionary,,Assumed Vishal Mega Mart on ticker/lot-size context; not independently confirmed.
VOLTAS,NSE,Equity,Cooling/Appliances,Consumer Durables,,
WAAREEENER,NSE,Equity,Solar Equipment,Power & Utilities,,
WIPRO,NSE,Equity,Large-cap IT,IT Services,,
YESBANK,NSE,Equity,Private Bank,Banking,,
ZYDUSLIFE,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
NIFTY,NSE,Index,Index — Broad Market,Index,,
BANKNIFTY,NSE,Index,Index — Banking,Index,,
FINNIFTY,NSE,Index,Index — Financial Services,Index,,
MIDCPNIFTY,NSE,Index,Index — Midcap,Index,,
NIFTYNXT50,NSE,Index,Index — Broad Market,Index,,
NIFTYFPI,NSE,Index,Index — Thematic,Index,,New index in the 25-Aug-2026 master; classification inferred from contract specs only.
SENSEX,BSE,Index,Index — Broad Market,Index,,
BANKEX,BSE,Index,Index — Banking,Index,,
